PRIM_STATE,H_MEAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,44.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,31.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,34.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,25.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,58.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,36.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,38.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,47.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,45.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,58.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,52.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,55.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,44.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,51.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,45.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,40.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,46.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,46.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,41.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,51.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,51.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,60.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,26.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,28.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,24.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,27.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,31.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,23.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,31.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,20.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,28.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,25.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,30.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,29.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
