PRIM_STATE,H_MEAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,18.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,16.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,18.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,16.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,18.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,18.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,22.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,23.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,24.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,17.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,16.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,18.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,25.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,21.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,17.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,18.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,20.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,18.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,16.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,18.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,21.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,17.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,17.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,12.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,12.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,13.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,16.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,11.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,15.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,13.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,14.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,14.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,26.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,19.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,17.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,16.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,18.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,19.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,16.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,15.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,20.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,39.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,36.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,29.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,23.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,26.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,22.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,28.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,28.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,20.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,19.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,18.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,16.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,18.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,15.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,18.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,17.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,16.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,21.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,20.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,23.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,21.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,16.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,15.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,16.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,19.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,19.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,17.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,19.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,28.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,17.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,15.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,17.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,16.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,17.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,21.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,14.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,15.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,18.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,27.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,26.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,57.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,21.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,14.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,13.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,21.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,18.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,15.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,20.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,14.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,14.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,12.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,30.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,30.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,25.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,32.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,28.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,20.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,18.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,37.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,19.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,40.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,15.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,11.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,14.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,16.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,24.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,39.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,19.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,16.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,15.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,30.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,21.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,24.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,19.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,13.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,15.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,17.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,12.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,14.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,29.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,21.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,20.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,28.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,20.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,25.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,55.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,49.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,67.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,67.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,67.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,58.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,44.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,52.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,44.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,75.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,69.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,55.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,56.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,50.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,59.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,59.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,56.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,46.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,21.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,60.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,43.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,72.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,29.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,30.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,28.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,52.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,66.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,40.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,29.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,32.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,35.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,36.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,31.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,51.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,37.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,37.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,34.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,34.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,34.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,33.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,35.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,30.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,29.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,34.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,47.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,48.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,26.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,27.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,34.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,32.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,34.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,34.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,38.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,30.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,38.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,43.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,43.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,54.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,38.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,53.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,46.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,29.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,37.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,27.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,20.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,39.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,46.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,48.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,51.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,42.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,32.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,27.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,58.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,42.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,60.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,43.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,48.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,55.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,44.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,45.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,40.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,42.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,113.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,37.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,50.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,50.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,31.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,41.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,42.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,39.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,30.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,27.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,53.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,49.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,43.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,50.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,38.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,51.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,54.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,51.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,41.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,46.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,42.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,44.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,42.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,43.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,38.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,49.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,29.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,30.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,29.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,31.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,24.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,33.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,41.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,24.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,30.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,30.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,26.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,29.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,21.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,35.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,27.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,31.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,47.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,30.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,36.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,35.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,35.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,28.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,48.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,43.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,58.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,37.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,46.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,44.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,34.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,31.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,49.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,51.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,35.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,38.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,47.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,34.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,26.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,32.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,35.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,41.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,23.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,27.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,23.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,25.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,24.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,38.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,28.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,45.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,34.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,23.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,24.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,26.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,39.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,31.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,24.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,28.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,23.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,24.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,21.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,27.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,23.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,26.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,22.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,36.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,42.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,21.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,15.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,21.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,20.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,27.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,27.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,17.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,47.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,63.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,19.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,38.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,33.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,50.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,25.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,22.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,27.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,27.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,24.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,18.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,19.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,23.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,12.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,20.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,27.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,24.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,22.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,31.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,15.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,28.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
